category,item,nasa_definition,current_definition,classification,evidence,notes,collective_deg,pitch_025R_deg,pitch_050R_deg,pitch_075R_deg,pitch_090R_deg
CONFIGURATION,blade_count,"3 blades","3 blades",CONFIRMED_MATCH,"NASA-TM-86854 PDF11 printed9 Table 1; params_nominal.m","A numerical match does not imply that the blade designs are homologous.",NaN,NaN,NaN,NaN,NaN
CONFIGURATION,radius,"3.81 m from the repeatedly stated 7.62 m diameter","3.8 m",CONFIRMED_MATCH,"NASA-TM-86854 PDF4 printed2 and PDF6 printed4; params_nominal.m","Table 1 labels 7.62 m as radius, contradicting the report narrative; the diameter statement is used as the internally consistent value.",NaN,NaN,NaN,NaN,NaN
CONFIGURATION,rotor_speed,"Figure 25 combines baseline data acquired over tip Mach 0.35-0.73","62 rad/s = 592.056388 rpm; approximate tip Mach 0.692941176",PARTIAL_MATCH,"NASA-TM-86854 PDF3-4 printed1-2 and PDF7 printed5; params_nominal.m","The current fixed speed lies within the test range but is not a pointwise speed match.",NaN,NaN,NaN,NaN,NaN
CONFIGURATION,chord_distribution,"Mean chord 0.411 m with radial taper, especially outboard of about 0.7R","Constant chord 0.38 m",CONFIRMED_MISMATCH,"NASA-TM-86854 PDF11 printed9 Table 1 and PDF22 printed20 Fig.7","The current constant chord is not the ATB planform.",NaN,NaN,NaN,NaN,NaN
CONFIGURATION,solidity,"sigma=0.103 from the test rotor geometry","sigma=Nb*c/(pi*R)=0.0954929659",CONFIRMED_MISMATCH,"NASA-TM-86854 PDF11 printed9 Table 1; external-validation script","The definition matches, but the numerical solidity and chord distribution do not.",NaN,NaN,NaN,NaN,NaN
CONFIGURATION,root_aerodynamic_start,"Baseline cuff/airfoil geometry begins near 0.09R and changes through 0.30R","Blade-element integration begins at 0.18R",CONFIRMED_MISMATCH,"NASA-TM-86854 PDF7 printed5 and PDF22 printed20 Fig.8; params_nominal.m","The test report does not define a single rootCut variable identical to the code field.",NaN,NaN,NaN,NaN,NaN
CONFIGURATION,blade_twist,"-47 deg nonlinear, with local zero near 0.75R in Fig.5","Linear 0 deg at 0.18R to -6 deg at 1R",CONFIRMED_MISMATCH,"NASA-TM-86854 PDF11 printed9 Table 1 and PDF21 printed19 Fig.5; params_nominal.m","The current single linear field cannot represent the ATB distribution.",NaN,NaN,NaN,NaN,NaN
CONFIGURATION,airfoil_or_lift_model,"V43030-1.58, VR7, and VR8 by radial region","Single tanh-limited polar: liftSlope=5.7 1/rad, CLmax=1.35, CD0=0.011, kCD=0.012",CONFIRMED_MISMATCH,"NASA-TM-86854 PDF11 printed9 Table 1 and PDF22 printed20 Fig.8; params_nominal.m","Public report does not provide a single lift-slope value equivalent to the code polar.",NaN,NaN,NaN,NaN,NaN
NORMALIZATION,CT_definition,"CT=T/(rho*A*(Omega*R)^2)","External comparison recomputes CT=T/(rho*A*(Omega*R)^2)",CONFIRMED_MATCH,"NASA-TM-86854 PDF3 printed1 Nomenclature; analysis/master_thesis_validation/run_external_validation_calculations.m","The production out.CT field uses a separate 0.5 normalization only inside NUAA Eq.13.",NaN,NaN,NaN,NaN,NaN
NORMALIZATION,sigma_definition,"Geometric rotor solidity; reported value 0.103","Nb*constantChord/(pi*R)",CONFIRMED_MATCH,"NASA-TM-86854 PDF4 printed2 and PDF11 printed9; external-validation script","Formula class matches; the actual geometries and numerical values do not.",NaN,NaN,NaN,NaN,NaN
