dataset,run,point,theta75_deg,Vtip_fps,Mtip,CT,CP,FM,rpm_in_repository_source_record,rpm_repository_output,rpm_disposition,rho_in_source_record,rho_repository_input,rho_disposition,source_locator
WADC,1,2,-2.0,596.9,0.5301,0.003539,0.000268,0.5554,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,1,3,0.0,598.2,0.5312,0.005020,0.000359,0.7010,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,1,4,2.0,595.6,0.5289,0.006890,0.000502,0.8059,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,1,5,4.0,599.5,0.5324,0.008604,0.000671,0.8407,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,1,6,6.0,600.8,0.5336,0.010432,0.000869,0.8671,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,1,7,8.0,598.2,0.5312,0.011924,0.001131,0.8138,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,1,8,9.0,596.9,0.5301,0.012921,0.001285,0.8083,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,1,9,10.0,595.6,0.5289,0.013464,0.001412,0.7825,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,1,10,11.0,595.6,0.5289,0.014560,0.001592,0.7802,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,1,11,12.0,599.5,0.5324,0.014923,0.001736,0.7425,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,1,12,13.0,600.8,0.5336,0.015397,0.001929,0.7003,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,1,13,14.0,598.2,0.5312,0.015642,0.002201,0.6285,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,2,1,-3.7,700.3,0.6219,0.002608,0.000214,0.4400,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,2,2,-2.0,699.0,0.6207,0.003608,0.000262,0.5847,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,2,3,0.0,700.3,0.6219,0.005253,0.000365,0.7376,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,2,4,2.0,697.7,0.6196,0.006747,0.000504,0.7782,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,2,5,4.0,700.3,0.6219,0.008494,0.000664,0.8338,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,2,6,6.0,699.0,0.6207,0.010897,0.000942,0.8536,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,2,7,8.0,701.6,0.6231,0.012537,0.001205,0.8240,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,2,8,9.0,701.6,0.6231,0.013240,0.001295,0.8321,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,2,9,10.0,701.6,0.6231,0.014012,0.001497,0.7838,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,2,10,11.0,702.9,0.6242,0.014694,0.001674,0.7524,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,2,11,12.0,699.0,0.6207,0.015178,0.001936,0.6832,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,2,12,13.0,702.9,0.6242,0.015673,0.002076,0.6685,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,3,1,-3.7,739.6,0.6624,0.002680,0.000219,0.4480,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,3,2,-2.0,739.6,0.6624,0.003615,0.000273,0.5639,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,3,3,0.0,742.2,0.6648,0.005280,0.000377,0.7199,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,3,4,2.0,742.2,0.6648,0.007026,0.000519,0.8030,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,3,5,4.0,739.6,0.6624,0.008960,0.000703,0.8525,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,3,6,6.0,742.2,0.6648,0.010707,0.000948,0.8260,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,3,7,8.0,743.5,0.6660,0.012856,0.001213,0.8499,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,3,8,9.0,739.6,0.6624,0.013579,0.001388,0.8059,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,3,9,10.0,740.9,0.6636,0.014040,0.001514,0.7768,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,3,10,11.0,740.9,0.6636,0.014809,0.001686,0.7560,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,3,11,12.0,740.9,0.6636,0.015394,0.001948,0.6935,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3
WADC,3,12,12.0,740.9,0.6636,0.015087,0.001868,0.7016,UNAVAILABLE,UNAVAILABLE_NOT_MATERIALIZED,DERIVED_AT_RUNTIME_FROM_POINT_VTIP_AND_R_NOT_565_DEFAULT,UNAVAILABLE,1.225,GENERIC_PARAMS_NOMINAL_NOT_POINT_MEASUREMENT,NASA_CR_2017_219486_APPENDIX_A_TABLE_A3

