codePath,subscripts,valueSI,unitSI,sourceClass,claimClass,roleClass,sourceFile,pdfPage,printedPage,sourceTitle,reportNumber,authors,publicationYear,locator,originalValue,originalUnit,conversion,configuration,manualReview,applyToModel,note
rotor.chord,[],0.3556,m,REFERENCE,XV15_DIRECT,GEOMETRY,NASA_TM_X_62407.pdf,20,17,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.7, blade chord",14,in,14 in * 0.0254,"XV-15 nominal rotor",0,1,
rotor.twistTip,[],-0.785398163397,rad,REFERENCE,XV15_DIRECT,ROTOR_AERO,NASA_TM_81244.pdf,4,2,The XV-15 Tilt Rotor Research Aircraft,NASA TM-81244 / AVRADCOM-TR-80-A-15 / A-8343,D. C. Dugan; R. G. Erhart; L. G. Schroers,1980,"Design Characteristics, 45 deg root-to-tip blade twist",45,deg magnitude,-45 deg * pi/180,"root-to-tip aerodynamic twist; negative toward tip",1,1,Sign follows the project linear twist convention.
rotor.pivotY,[],4.902708,m,REFERENCE,XV15_DERIVED,GEOMETRY,NASA_TM_X_62407.pdf,15,12,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.3 wing span footnote a",32.17,ft,32.17 ft * 0.3048 / 2,"half distance between rotor centerlines at tilt axes",0,1,Direct span divided by two for the symmetric body-y coordinate.
wing.S,[],15.70061376,m^2,REFERENCE,XV15_DIRECT,GEOMETRY,NASA_TM_X_62407.pdf,15,12,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.3 dimensions table",169.0,ft^2,169.0 ft^2 * 0.09290304,"documented wing reference area",0,1,
wing.b,[],9.805416,m,REFERENCE,XV15_DIRECT,GEOMETRY,NASA_TM_X_62407.pdf,15,12,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.3 dimensions table and footnote a",32.17,ft,32.17 ft * 0.3048,"between rotor centerlines at tilt axes",1,1,Used as the present low-order wing span reference.
wing.c,[],1.6002,m,REFERENCE,XV15_DIRECT,GEOMETRY,NASA_TM_X_62407.pdf,15,12,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.3 mean aerodynamic chord",5.25,ft,5.25 ft * 0.3048,"wing mean aerodynamic chord",0,1,
htail.S,[],4.66837776,m^2,REFERENCE,XV15_DIRECT,GEOMETRY,NASA_TM_X_62407.pdf,15,12,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.3 horizontal-tail area",50.25,ft^2,50.25 ft^2 * 0.09290304,"horizontal tail total area",0,1,
htail.c,[],1.194816,m,REFERENCE,XV15_DIRECT,GEOMETRY,NASA_TM_X_62407.pdf,15,12,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.3 horizontal-tail mean chord",3.92,ft,3.92 ft * 0.3048,"horizontal tail mean aerodynamic chord",0,1,
vtail.SEach,[],2.34580176,m^2,REFERENCE,XV15_DERIVED,GEOMETRY,NASA_TM_X_62407.pdf,15,12,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.3 vertical-tail total area",50.5,ft^2 total,50.5 ft^2 * 0.09290304 / 2,"symmetric twin-tail split",1,1,Equal per-fin split is imposed by the present symmetric twin-tail model.
vtail.c,[],1.133856,m,REFERENCE,XV15_DIRECT,GEOMETRY,NASA_TM_X_62407.pdf,15,12,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.3 vertical-tail mean aerodynamic chord",3.72,ft,3.72 ft * 0.3048,"vertical tail mean aerodynamic chord",0,1,This field is metadata in the current model and does not affect loads.
control.elevatorLim,[],[-0.349065850399 0.349065850399],rad,REFERENCE,XV15_DIRECT,CONTROL_LIMIT,NASA_TM_X_62407.pdf,17,14,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.4 movable-surface table",+/-20,deg,[-20 20] deg * pi/180,"elevator surface deflection",0,1,
control.rudderLim,[],[-0.349065850399 0.349065850399],rad,REFERENCE,XV15_DIRECT,CONTROL_LIMIT,NASA_TM_X_62407.pdf,17,14,NASA/Army XV-15 Tilt Rotor Research Aircraft Familiarization Document,NASA TM X-62407 / A-5870,Tilt Rotor Project Office Staff; coordinated by Martin Maisel,1975,"Section 3.4 movable-surface table",+/-20,deg,[-20 20] deg * pi/180,"rudder surface deflection",0,1,
