parameterId,parameterSet,parameterName,codePath,currentValue,unitSI,sourceClass,claimClass,roleClass,originalSource,sourceLocation,originalValueUnit,conversion,xv15PublicValue,xv15DifferencePercent,optimizable,lowerBound,upperBound,sensitivityIncluded,finalModel,manualReview,note
PAR-0011,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.Omega,"params_nominal.rotor.Omega",62,rad/s,ASSUMED_MODEL_PARAMETER,XV15_LIKE_UNVERIFIED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",62 rad/s,none (current code value),"=59.1666616426",4.78874129236295,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance. A public XV-15 comparison exists, but the current value is not historically traced to that source."
PAR-0012,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.chord,"params_nominal.rotor.chord",0.38,m,ASSUMED_MODEL_PARAMETER,XV15_LIKE_UNVERIFIED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.38 m,none (current code value),"=0.3556",6.86164229471317,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance. A public XV-15 comparison exists, but the current value is not historically traced to that source."
PAR-0013,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.rootCut,"params_nominal.rotor.rootCut",0.18,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.18 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0014,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.twistTip,"params_nominal.rotor.twistTip",-0.10471975512,rad,ASSUMED_MODEL_PARAMETER,XV15_LIKE_UNVERIFIED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",-0.10471975512 rad,none (current code value),"=-0.785398163397",86.6666666666667,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance. A public XV-15 comparison exists, but the current value is not historically traced to that source."
PAR-0015,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.liftSlope,"params_nominal.rotor.liftSlope",5.7,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",5.7 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0016,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.CLmax,"params_nominal.rotor.CLmax",1.35,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",1.35 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0017,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.CD0,"params_nominal.rotor.CD0",0.011,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.011 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0018,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.kCD,"params_nominal.rotor.kCD",0.012,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.012 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0019,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.pivotX,"params_nominal.rotor.pivotX",0,m,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0 m,none (current code value),"",NaN,1,-0.5,+0.5,1,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0020,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.pivotY,"params_nominal.rotor.pivotY",5,m,ASSUMED_MODEL_PARAMETER,XV15_LIKE_UNVERIFIED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",5 m,none (current code value),"=4.902708",1.98445430566127,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance. A public XV-15 comparison exists, but the current value is not historically traced to that source."
PAR-0021,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.pivotZ,"params_nominal.rotor.pivotZ",0,m,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0 m,none (current code value),"",NaN,1,-0.6,+0.6,1,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0022,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.RH_hub,"params_nominal.rotor.RH_hub",0.75,m,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.75 m,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0023,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.nRadial,"params_nominal.rotor.nRadial",12,m,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ANALYSIS_GUARD,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",12 m,none (current code value),"",NaN,0,,,0,1,0,"Numerical method, discretization, tolerance, or analysis guard."
PAR-0024,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.nAzimuth,"params_nominal.rotor.nAzimuth",16,1,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ANALYSIS_GUARD,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",16 1,none (current code value),"",NaN,0,,,0,1,0,"Numerical method, discretization, tolerance, or analysis guard."
PAR-0025,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.inducedMaxIter,"params_nominal.rotor.inducedMaxIter",20,1,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ANALYSIS_GUARD,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",20 1,none (current code value),"",NaN,0,,,0,1,0,"Numerical method, discretization, tolerance, or analysis guard."
PAR-0026,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.inducedRelax,"params_nominal.rotor.inducedRelax",0.5,m,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ANALYSIS_GUARD,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.5 m,none (current code value),"",NaN,0,,,0,1,0,"Numerical method, discretization, tolerance, or analysis guard."
PAR-0027,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.inducedTol,"params_nominal.rotor.inducedTol",0.0001,1,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ANALYSIS_GUARD,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.0001 1,none (current code value),"",NaN,0,,,0,1,0,"Numerical method, discretization, tolerance, or analysis guard."
PAR-0028,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.inflowHarmonic,"params_nominal.rotor.inflowHarmonic",1,1,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",1 1,none (current code value),"",NaN,0,,,0,1,1,"Deprecated or compatibility metadata; not active production physics."
PAR-0029,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.flapCyclicGain,"params_nominal.rotor.flapCyclicGain",1.2,1,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",1.2 1,none (current code value),"",NaN,0,,,0,1,1,"Deprecated or compatibility metadata; not active production physics."
PAR-0030,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.flapMuGain,"params_nominal.rotor.flapMuGain",0.1,1,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.1 1,none (current code value),"",NaN,0,,,0,1,1,"Deprecated or compatibility metadata; not active production physics."
PAR-0031,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.flapLatMuGain,"params_nominal.rotor.flapLatMuGain",0.05,1,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.05 1,none (current code value),"",NaN,0,,,0,1,1,"Deprecated or compatibility metadata; not active production physics."
PAR-0032,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.flapQGain,"params_nominal.rotor.flapQGain",10,1,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",10 1,none (current code value),"",NaN,0,,,0,1,1,"Deprecated or compatibility metadata; not active production physics."
PAR-0033,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.flapPGain,"params_nominal.rotor.flapPGain",5,1,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",5 1,none (current code value),"",NaN,0,,,0,1,1,"Deprecated or compatibility metadata; not active production physics."
PAR-0034,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.flapMax,"params_nominal.rotor.flapMax",0.314159265359,rad,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.314159265359 rad,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0035,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.bladeMass,"params_nominal.rotor.bladeMass",45,m,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",45 m,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0036,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.bladeMassDistribution,"params_nominal.rotor.bladeMassDistribution",ASSUMED_UNIFORM_FULL_SPAN,m,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",ASSUMED_UNIFORM_FULL_SPAN m,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0037,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.Ib,"params_nominal.rotor.Ib",216.6,kg m^2,DERIVED,GENERIC_ASSUMED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",216.6 kg m^2,none (current code value),"",NaN,0,,,0,1,1,"Derived from declared generic assumptions in params_nominal.m."
PAR-0038,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.Sblade,"params_nominal.rotor.Sblade",85.5,m^2,DERIVED,GENERIC_ASSUMED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",85.5 m^2,none (current code value),"",NaN,0,,,0,1,1,"Derived from declared generic assumptions in params_nominal.m."
PAR-0039,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.flapInitial,"params_nominal.rotor.flapInitial",[0;0;0],1,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ANALYSIS_GUARD,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",[0;0;0] 1,none (current code value),"",NaN,0,,,0,1,0,"Numerical method, discretization, tolerance, or analysis guard."
PAR-0040,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.flapResidualTol,"params_nominal.rotor.flapResidualTol",1e-07,m,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ANALYSIS_GUARD,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",1e-07 m,none (current code value),"",NaN,0,,,0,1,0,"Numerical method, discretization, tolerance, or analysis guard."
PAR-0041,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.flapMaxIter,"params_nominal.rotor.flapMaxIter",40,rad,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ANALYSIS_GUARD,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",40 rad,none (current code value),"",NaN,0,,,0,1,0,"Numerical method, discretization, tolerance, or analysis guard."
PAR-0042,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.flapJacobianStep,"params_nominal.rotor.flapJacobianStep",1e-05,m^2,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ANALYSIS_GUARD,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",1e-05 m^2,none (current code value),"",NaN,0,,,0,1,0,"Numerical method, discretization, tolerance, or analysis guard."
PAR-0043,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.flapNewtonDamping,"params_nominal.rotor.flapNewtonDamping",0.5,1,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ANALYSIS_GUARD,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.5 1,none (current code value),"",NaN,0,,,0,1,0,"Numerical method, discretization, tolerance, or analysis guard."
PAR-0044,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.flapNewtonRegularization,"params_nominal.rotor.flapNewtonRegularization",1e-08,m,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ANALYSIS_GUARD,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",1e-08 m,none (current code value),"",NaN,0,,,0,1,0,"Numerical method, discretization, tolerance, or analysis guard."
PAR-0045,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.flapLineSearchMaxIter,"params_nominal.rotor.flapLineSearchMaxIter",18,m^2,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ANALYSIS_GUARD,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",18 m^2,none (current code value),"",NaN,0,,,0,1,0,"Numerical method, discretization, tolerance, or analysis guard."
PAR-0046,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.flapDivergenceAngle,"params_nominal.rotor.flapDivergenceAngle",1.3962634016,rad,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ANALYSIS_GUARD,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",1.3962634016 rad,none (current code value),"",NaN,0,,,0,1,0,"Numerical method, discretization, tolerance, or analysis guard."
PAR-0047,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.wakeFactor,"params_nominal.rotor.wakeFactor",1.6,1,ASSUMED_MODEL_PARAMETER,NUMERICAL_ONLY,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",1.6 1,none (current code value),"",NaN,0,,,0,1,1,"Deprecated or compatibility metadata; not active production physics."
PAR-0048,PARAMS_NOMINAL_GENERIC_BASELINE,rotor.Jpolar,"params_nominal.rotor.Jpolar",0,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,ROTOR_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0049,PARAMS_NOMINAL_GENERIC_BASELINE,wing.S,"params_nominal.wing.S",18,m^2,ASSUMED_MODEL_PARAMETER,XV15_LIKE_UNVERIFIED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",18 m^2,none (current code value),"=15.70061376",14.6451997046006,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance. A public XV-15 comparison exists, but the current value is not historically traced to that source."
PAR-0050,PARAMS_NOMINAL_GENERIC_BASELINE,wing.b,"params_nominal.wing.b",10,m,ASSUMED_MODEL_PARAMETER,XV15_LIKE_UNVERIFIED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",10 m,none (current code value),"=9.805416",1.98445430566127,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance. A public XV-15 comparison exists, but the current value is not historically traced to that source."
PAR-0051,PARAMS_NOMINAL_GENERIC_BASELINE,wing.c,"params_nominal.wing.c",1.5,m,ASSUMED_MODEL_PARAMETER,XV15_LIKE_UNVERIFIED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",1.5 m,none (current code value),"=1.6002",6.26171728533934,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance. A public XV-15 comparison exists, but the current value is not historically traced to that source."
PAR-0052,PARAMS_NOMINAL_GENERIC_BASELINE,wing.xAC,"params_nominal.wing.xAC",0,m,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0 m,none (current code value),"",NaN,1,-0.4,+0.4,1,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0053,PARAMS_NOMINAL_GENERIC_BASELINE,wing.yFreeAC,"params_nominal.wing.yFreeAC",1.7,m,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",1.7 m,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0054,PARAMS_NOMINAL_GENERIC_BASELINE,wing.ySlipAC,"params_nominal.wing.ySlipAC",4,m^2,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",4 m^2,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0055,PARAMS_NOMINAL_GENERIC_BASELINE,wing.zAC,"params_nominal.wing.zAC",0.05,m,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.05 m,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0056,PARAMS_NOMINAL_GENERIC_BASELINE,wing.CL0,"params_nominal.wing.CL0",0.15,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.15 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0057,PARAMS_NOMINAL_GENERIC_BASELINE,wing.CLalpha,"params_nominal.wing.CLalpha",5.2,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",5.2 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0058,PARAMS_NOMINAL_GENERIC_BASELINE,wing.CLmax,"params_nominal.wing.CLmax",1.45,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",1.45 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0059,PARAMS_NOMINAL_GENERIC_BASELINE,wing.CD0,"params_nominal.wing.CD0",0.025,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.025 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0060,PARAMS_NOMINAL_GENERIC_BASELINE,wing.kInduced,"params_nominal.wing.kInduced",0.055,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.055 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0061,PARAMS_NOMINAL_GENERIC_BASELINE,wing.CYbeta,"params_nominal.wing.CYbeta",-0.35,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",-0.35 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0062,PARAMS_NOMINAL_GENERIC_BASELINE,wing.Cm0,"params_nominal.wing.Cm0",-0.03,1,ASSUMED_MODEL_PARAMETER,CALIBRATED_EFFECTIVE,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",-0.03 1,none (current code value),"",NaN,1,-0.045,-0.015,1,1,1,"Project effective parameter retained from prior bounded trim-trend correction; not a measured component value."
PAR-0063,PARAMS_NOMINAL_GENERIC_BASELINE,wing.Cmalpha,"params_nominal.wing.Cmalpha",0,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0064,PARAMS_NOMINAL_GENERIC_BASELINE,wing.CLaileron,"params_nominal.wing.CLaileron",0.45,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.45 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0065,PARAMS_NOMINAL_GENERIC_BASELINE,wing.Cmaileron,"params_nominal.wing.Cmaileron",-0.08,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",-0.08 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0066,PARAMS_NOMINAL_GENERIC_BASELINE,wing.SslipMaxHalf,"params_nominal.wing.SslipMaxHalf",4,m^2,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",4 m^2,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0067,PARAMS_NOMINAL_GENERIC_BASELINE,wing.muMax,"params_nominal.wing.muMax",0.35,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.35 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0068,PARAMS_NOMINAL_GENERIC_BASELINE,wing.CDnormal,"params_nominal.wing.CDnormal",1.1,1,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",1.1 1,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
PAR-0069,PARAMS_NOMINAL_GENERIC_BASELINE,wing.normalFlowRatio,"params_nominal.wing.normalFlowRatio",0.35,m,ASSUMED_MODEL_PARAMETER,GENERIC_ASSUMED,WING_AERO,params_nominal.m and repository audit history,"code declaration; no direct aircraft provenance",0.35 m,none (current code value),"",NaN,0,,,0,1,1,"Generic conceptual-model value without verified aircraft provenance."
