curve_id,coefficient,alpha_deg,flap_deg,pass1_value,pass2_value,difference
TM88373_Figure6a_flap_60_CL,CL,-85.0,60.0,0.12,0.12641739779521696,0.006417397795216967
TM88373_Figure6a_flap_60_CL,CL,-90.0,60.0,0.18,0.19092486443593387,0.010924864435933879
TM88373_Figure6a_flap_60_CL,CL,-95.0,60.0,0.23,0.2414808522773342,0.011480852277334197
TM88373_Figure6a_flap_60_CL,CL,-100.0,60.0,0.26,0.2678842627903836,0.007884262790383567
TM88373_Figure6a_flap_60_CL,CL,-105.0,60.0,0.23,0.23143596768757352,0.0014359676875735083
TM88373_Figure6a_flap_60_CD,CD,-75.0,60.0,1.05,1.0429089063500616,-0.007091093649938429
TM88373_Figure6a_flap_60_CD,CD,-80.0,60.0,1.02,1.0195887846099998,-0.0004112153900002191
TM88373_Figure6a_flap_60_CD,CD,-85.0,60.0,0.98,0.9864173977952164,0.00641739779521644
TM88373_Figure6a_flap_60_CD,CD,-90.0,60.0,0.96,0.9709248644359348,0.010924864435934878
TM88373_Figure6a_flap_60_CD,CD,-95.0,60.0,1.12,1.1314808522773339,0.011480852277333753
TM88373_Figure6a_flap_60_CD,CD,-100.0,60.0,1.2,1.2078842627903839,0.0078842627903839
TM88373_Figure6a_flap_60_CD,CD,-105.0,60.0,1.24,1.2414359676875732,0.0014359676875732585
TM88373_Figure6a_flap_60_Cm,Cm,-75.0,60.0,0.08,0.07290890635006105,-0.0070910936499389565
TM88373_Figure6a_flap_60_Cm,Cm,-80.0,60.0,0.1,0.09958878460999984,-0.0004112153900001636
TM88373_Figure6a_flap_60_Cm,Cm,-85.0,60.0,0.13,0.13641739779521705,0.00641739779521705
TM88373_Figure6a_flap_60_Cm,Cm,-90.0,60.0,0.18,0.19092486443593387,0.010924864435933879
TM88373_Figure6a_flap_60_Cm,Cm,-95.0,60.0,0.22,0.2314808522773341,0.011480852277334086
TM88373_Figure6a_flap_60_Cm,Cm,-100.0,60.0,0.24,0.24788426279038336,0.007884262790383373
TM88373_Figure6a_flap_60_Cm,Cm,-105.0,60.0,0.26,0.2614359676875738,0.0014359676875738137
TM88373_Figure6a_flap_75_CL,CL,-75.0,75.0,-0.1,-0.11166817600732616,-0.011668176007326156
TM88373_Figure6a_flap_75_CL,CL,-80.0,75.0,-0.04,-0.04861742793034433,-0.008617427930344326
TM88373_Figure6a_flap_75_CL,CL,-85.0,75.0,0.05,0.047550208596015144,-0.0024497914039848592
TM88373_Figure6a_flap_75_CL,CL,-90.0,75.0,0.16,0.1646039246570339,0.004603924657033909
TM88373_Figure6a_flap_75_CL,CL,-95.0,75.0,0.31,0.31999241999310835,0.009992419993108348
TM88373_Figure6a_flap_75_CL,CL,-100.0,75.0,0.42,0.4317666978724631,0.011766697872463094
TM88373_Figure6a_flap_75_CL,CL,-105.0,75.0,0.36,0.36928500924040975,0.009285009240409758
TM88373_Figure6a_flap_75_CD,CD,-75.0,75.0,1.17,1.1583318239926739,-0.011668176007326059
TM88373_Figure6a_flap_75_CD,CD,-80.0,75.0,1.17,1.1613825720696551,-0.008617427930344812
TM88373_Figure6a_flap_75_CD,CD,-85.0,75.0,1.08,1.0775502085960151,-0.0024497914039849356
TM88373_Figure6a_flap_75_CD,CD,-90.0,75.0,1.0,1.0046039246570355,0.0046039246570355186
TM88373_Figure6a_flap_75_CD,CD,-95.0,75.0,0.95,0.9599924199931078,0.009992419993107848
TM88373_Figure6a_flap_75_CD,CD,-100.0,75.0,1.0,1.0117666978724644,0.011766697872464427
TM88373_Figure6a_flap_75_CD,CD,-105.0,75.0,1.02,1.0292850092404118,0.009285009240411757
TM88373_Figure6a_flap_75_Cm,Cm,-75.0,75.0,0.12,0.10833182399267374,-0.011668176007326253
TM88373_Figure6a_flap_75_Cm,Cm,-80.0,75.0,0.14,0.13138257206965515,-0.008617427930344868
TM88373_Figure6a_flap_75_Cm,Cm,-85.0,75.0,0.14,0.13755020859601488,-0.00244979140398513
TM88373_Figure6a_flap_75_Cm,Cm,-90.0,75.0,0.15,0.154603924657035,0.004603924657035019
TM88373_Figure6a_flap_75_Cm,Cm,-95.0,75.0,0.15,0.15999241999310906,0.00999241999310907
TM88373_Figure6a_flap_75_Cm,Cm,-100.0,75.0,0.17,0.18176669787246408,0.011766697872464066
TM88373_Figure6a_flap_75_Cm,Cm,-105.0,75.0,0.2,0.20928500924041046,0.009285009240410452
TM88373_Figure6a_flap_90_CL,CL,-75.0,90.0,-0.22,-0.22941019910777705,-0.009410199107777045
TM88373_Figure6a_flap_90_CL,CL,-80.0,90.0,-0.14,-0.15177566806186538,-0.011775668061865363
TM88373_Figure6a_flap_90_CL,CL,-85.0,90.0,-0.05,-0.05988192602371448,-0.009881926023714474
TM88373_Figure6a_flap_90_CL,CL,-90.0,90.0,0.06,0.055586068254190324,-0.004413931745809674
TM88373_Figure6a_flap_90_CL,CL,-95.0,90.0,0.17,0.17265056359784905,0.0026505635978490427
TM88373_Figure6a_flap_90_CL,CL,-100.0,90.0,0.28,0.28875636092520107,0.008756360925201045
TM88373_Figure6a_flap_90_CL,CL,-105.0,90.0,0.37,0.3816950183069735,0.011695018306973504
TM88373_Figure6a_flap_90_CD,CD,-75.0,90.0,1.2,1.1905898008922235,-0.009410199107776407
TM88373_Figure6a_flap_90_CD,CD,-80.0,90.0,1.22,1.2082243319381345,-0.011775668061865474
TM88373_Figure6a_flap_90_CD,CD,-85.0,90.0,1.25,1.2401180739762847,-0.009881926023715293
TM88373_Figure6a_flap_90_CD,CD,-90.0,90.0,1.24,1.2355860682541908,-0.004413931745809174
TM88373_Figure6a_flap_90_CD,CD,-95.0,90.0,1.2,1.202650563597849,0.0026505635978490982
TM88373_Figure6a_flap_90_CD,CD,-100.0,90.0,1.06,1.0687563609251995,0.008756360925199491
TM88373_Figure6a_flap_90_CD,CD,-105.0,90.0,0.96,0.9716950183069737,0.011695018306973726
TM88373_Figure6a_flap_90_Cm,Cm,-75.0,90.0,0.17,0.16058980089222347,-0.009410199107776546
TM88373_Figure6a_flap_90_Cm,Cm,-80.0,90.0,0.18,0.16822433193813316,-0.011775668061866834
TM88373_Figure6a_flap_90_Cm,Cm,-85.0,90.0,0.19,0.18011807397628565,-0.00988192602371435
TM88373_Figure6a_flap_90_Cm,Cm,-90.0,90.0,0.2,0.19558606825418937,-0.004413931745810645
TM88373_Figure6a_flap_90_Cm,Cm,-95.0,90.0,0.21,0.2126505635978495,0.0026505635978495146
TM88373_Figure6a_flap_90_Cm,Cm,-100.0,90.0,0.22,0.22875636092520044,0.008756360925200435
TM88373_Figure6a_flap_90_Cm,Cm,-105.0,90.0,0.23,0.24169501830697446,0.011695018306974447
